,NPV/1,NPV/2,NPV/3,NPV/4,NPV/5,NPV/6
Baseline,"0.81 (0.78, 0.84)","0.84 (0.81, 0.86)","0.85 (0.82, 0.87)","0.83 (0.80, 0.85)","0.83 (0.81, 0.86)","0.85 (0.82, 0.87)"
0-Shot | Notes,"1.00 (0.99, 1.00)","0.70 (0.67, 0.73)","0.68 (0.65, 0.71)","0.89 (0.87, 0.91)","0.98 (0.97, 0.99)","1.00 (1.00, 1.00)"
0-Shot | Summary,"1.00 (0.99, 1.00)","0.69 (0.66, 0.72)","0.66 (0.63, 0.69)","0.91 (0.89, 0.93)","0.98 (0.96, 0.98)","1.00 (1.00, 1.00)"
5-Shot | Summary,"0.99 (0.99, 1.00)","0.71 (0.68, 0.75)","0.64 (0.61, 0.68)","0.91 (0.89, 0.93)","0.98 (0.97, 0.99)","1.00 (1.00, 1.00)"
10-Shot | Summary,"1.00 (0.99, 1.00)","0.70 (0.67, 0.73)","0.67 (0.64, 0.71)","0.91 (0.88, 0.93)","0.97 (0.96, 0.98)","1.00 (1.00, 1.00)"
20-Shot | Summary,"0.99 (0.98, 1.00)","0.71 (0.67, 0.74)","0.68 (0.65, 0.72)","0.92 (0.90, 0.94)","0.97 (0.96, 0.98)","1.00 (1.00, 1.00)"
50-Shot | Summary,"0.98 (0.97, 0.99)","0.72 (0.69, 0.75)","0.68 (0.65, 0.71)","0.91 (0.90, 0.93)","0.97 (0.96, 0.98)","1.00 (0.99, 1.00)"
0-Shot CoT | Notes,"0.99 (0.99, 1.00)","0.71 (0.68, 0.74)","0.73 (0.69, 0.76)","0.87 (0.85, 0.89)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)"
0-Shot CoT | Summary,"0.98 (0.97, 0.99)","0.71 (0.68, 0.74)","0.75 (0.72, 0.78)","0.86 (0.83, 0.88)","0.99 (0.99, 1.00)","1.00 (1.00, 1.00)"
5-Shot CoT | Summary,"0.96 (0.95, 0.97)","0.73 (0.70, 0.76)","0.74 (0.71, 0.77)","0.88 (0.86, 0.90)","1.00 (0.99, 1.00)","1.00 (1.00, 1.00)"
10-Shot CoT | Summary,"0.95 (0.93, 0.96)","0.75 (0.72, 0.78)","0.75 (0.72, 0.78)","0.90 (0.88, 0.92)","0.99 (0.99, 1.00)","1.00 (1.00, 1.00)"
20-Shot CoT | Summary,"0.95 (0.93, 0.96)","0.77 (0.74, 0.80)","0.75 (0.72, 0.78)","0.90 (0.88, 0.92)","0.99 (0.98, 1.00)","1.00 (1.00, 1.00)"
50-Shot CoT | Summary,"0.93 (0.92, 0.95)","0.76 (0.73, 0.79)","0.77 (0.74, 0.80)","0.91 (0.88, 0.93)","0.99 (0.98, 0.99)","1.00 (1.00, 1.00)"
