,TNR/1,TNR/2,TNR/3,TNR/4,TNR/5,TNR/6
Baseline,"0.77 (0.74, 0.80)","0.77 (0.74, 0.80)","0.79 (0.76, 0.82)","0.78 (0.75, 0.81)","0.90 (0.88, 0.92)","0.99 (0.99, 1.00)"
0-Shot | Notes,"0.79 (0.77, 0.82)","0.85 (0.82, 0.87)","0.88 (0.86, 0.91)","0.83 (0.81, 0.86)","0.93 (0.91, 0.94)","0.99 (0.99, 1.00)"
0-Shot | Summary,"0.79 (0.77, 0.82)","0.84 (0.81, 0.87)","0.89 (0.86, 0.91)","0.83 (0.80, 0.85)","0.92 (0.90, 0.94)","0.99 (0.99, 1.00)"
5-Shot | Summary,"0.79 (0.77, 0.82)","0.83 (0.80, 0.86)","0.88 (0.85, 0.91)","0.84 (0.81, 0.86)","0.93 (0.91, 0.95)","0.99 (0.99, 1.00)"
10-Shot | Summary,"0.79 (0.77, 0.82)","0.83 (0.80, 0.86)","0.88 (0.85, 0.90)","0.83 (0.81, 0.86)","0.93 (0.92, 0.95)","1.00 (0.99, 1.00)"
20-Shot | Summary,"0.80 (0.78, 0.82)","0.85 (0.82, 0.88)","0.87 (0.85, 0.90)","0.84 (0.81, 0.86)","0.94 (0.92, 0.95)","1.00 (1.00, 1.00)"
50-Shot | Summary,"0.80 (0.78, 0.83)","0.84 (0.81, 0.87)","0.86 (0.83, 0.88)","0.83 (0.81, 0.86)","0.94 (0.93, 0.96)","1.00 (1.00, 1.00)"
0-Shot CoT | Notes,"0.82 (0.79, 0.84)","0.87 (0.84, 0.89)","0.88 (0.86, 0.91)","0.85 (0.83, 0.88)","0.91 (0.89, 0.92)","1.00 (1.00, 1.00)"
0-Shot CoT | Summary,"0.82 (0.80, 0.84)","0.85 (0.82, 0.87)","0.87 (0.84, 0.90)","0.87 (0.85, 0.90)","0.90 (0.88, 0.92)","1.00 (0.99, 1.00)"
5-Shot CoT | Summary,"0.85 (0.83, 0.88)","0.85 (0.83, 0.88)","0.85 (0.83, 0.88)","0.85 (0.82, 0.87)","0.90 (0.89, 0.92)","1.00 (1.00, 1.00)"
10-Shot CoT | Summary,"0.87 (0.85, 0.89)","0.86 (0.84, 0.89)","0.86 (0.83, 0.89)","0.84 (0.82, 0.87)","0.91 (0.89, 0.93)","1.00 (1.00, 1.00)"
20-Shot CoT | Summary,"0.88 (0.86, 0.90)","0.87 (0.85, 0.90)","0.86 (0.83, 0.88)","0.84 (0.81, 0.86)","0.91 (0.90, 0.93)","1.00 (1.00, 1.00)"
50-Shot CoT | Summary,"0.87 (0.85, 0.89)","0.86 (0.83, 0.88)","0.86 (0.84, 0.89)","0.84 (0.82, 0.87)","0.92 (0.91, 0.94)","1.00 (1.00, 1.00)"
