,NPV/True,NPV/False
Baseline,"0.45 (0.40, 0.49)","0.46 (0.41, 0.50)"
0-Shot | Notes,"0.39 (0.35, 0.43)","0.81 (0.77, 0.84)"
0-Shot | Summary,"0.52 (0.48, 0.57)","0.69 (0.65, 0.73)"
5-Shot | Summary,"0.45 (0.41, 0.50)","0.66 (0.61, 0.70)"
10-Shot | Summary,"0.44 (0.40, 0.48)","0.71 (0.66, 0.75)"
20-Shot | Summary,"0.44 (0.40, 0.48)","0.71 (0.67, 0.75)"
50-Shot | Summary,"0.44 (0.39, 0.48)","0.73 (0.69, 0.77)"
0-Shot CoT | Notes,"0.63 (0.59, 0.67)","0.53 (0.48, 0.57)"
0-Shot CoT | Summary,"0.57 (0.53, 0.61)","0.59 (0.55, 0.64)"
5-Shot CoT | Summary,"0.54 (0.49, 0.58)","0.65 (0.60, 0.69)"
10-Shot CoT | Summary,"0.58 (0.53, 0.62)","0.58 (0.54, 0.63)"
20-Shot CoT | Summary,"0.59 (0.55, 0.64)","0.58 (0.53, 0.62)"
50-Shot CoT | Summary,"0.62 (0.57, 0.66)","0.52 (0.47, 0.56)"
